| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
|----------------------------------------------------------------------------------------|-----------|-------------|--------|-----------|-------|-------------|---------|
| Amaranth seed, black (Amaranthus cruentus)                                             | 1490      | 356.11      | 59.98  | 14.59     | 5.74  | 0.88        | 7.02    |
| Amaranth seed, pale brown (Amaranthus cruentus)                                        | 1489      | 355.87      | 61.46  | 13.27     | 5.56  | 0.8         | 7.47    |
| Bajra (Pennisetum typhoideum)                                                          | 1456      | 347.98      | 61.78  | 10.96     | 5.43  | 0.81        | 11.49   |
| Barley (Hordeum vulgare)                                                               | 1321      | 315.72      | 61.29  | 10.94     | 1.3   | 0.06        | 15.64   |
| Jowar (Sorghum vulgare)                                                                | 1398      | 334.12      | 67.68  | 9.97      | 1.73  | 1.27        | 10.22   |
| Maize, dry (Zea mays)                                                                  | 1398      | 334.12      | 64.77  | 8.8       | 3.77  | 1.66        | 12.24   |
| Maize, tender, local (Zea mays)                                                        | 502       | 119.98      | 22.69  | 3.57      | 1.4   | 1.47        | 3.67    |
| Maize, tender, sweet (Zea mays)                                                        | 405       | 96.8        | 16.42  | 4.16      | 1.35  | 4.67        | 3.3     |
| Quinoa (Chenopodium quinoa)                                                            | 1374      | 328.39      | 53.65  | 13.11     | 5.5   | 1.41        | 14.66   |
| Ragi (Eleusine coracana)                                                               | 1342      | 320.74      | 66.82  | 7.16      | 1.92  | 0.34        | 11.18   |
| Rice flakes (Oryza sativa )                                                            | 1480      | 353.72      | 76.75  | 7.44      | 1.14  | 0.34        | 3.46    |
| Rice puffed (Oryza sativa )                                                            | 1514      | 361.85      | 77.68  | 7.47      | 1.62  | 0.64        | 2.56    |
| Rice, raw, brown (Oryza sativa )                                                       | 1480      | 353.72      | 74.8   | 9.16      | 1.24  | 0.69        | 4.43    |
| Rice, parboiled, milled (Oryza sativa )                                                | 1471      | 351.57      | 77.16  | 7.81      | 0.55  | 0.67        | 3.74    |
| Rice, raw, milled (Oryza sativa )                                                      | 1491      | 356.35      | 78.24  | 7.94      | 0.52  | 0.69        | 2.81    |
| Samai (Panicum miliare)                                                                | 1449      | 346.31      | 65.55  | 10.13     | 3.89  | 0.37        | 7.72    |
| Varagu (Paspalum scrobiculatum)                                                        | 1388      | 331.73      | 66.19  | 8.92      | 2.55  | 1.29        | 6.39    |
| Wheat flour, refined (Triticum aestivum)                                               | 1472      | 351.81      | 74.27  | 10.36     | 0.76  | 1.79        | 2.76    |
| Wheat flour, atta (Triticum aestivum)                                                  | 1340      | 320.26      | 64.17  | 10.57     | 1.53  | 1.8         | 11.36   |
| Wheat, whole (Triticum aestivum)                                                       | 1347      | 321.93      | 64.72  | 10.59     | 1.47  | 1.77        | 11.23   |
| Wheat, bulgur (Triticum aestivum)                                                      | 1430      | 341.77      | 69.06  | 10.84     | 1.45  | 1.2         | 8.81    |
| Wheat, semolina (Triticum aestivum)                                                    | 1396      | 333.64      | 68.43  | 11.38     | 0.74  | 1.65        | 9.72    |
| Wheat, vermicelli (Triticum aestivum)                                                  | 1392      | 332.69      | 70.39  | 9.7       | 0.45  | 1.68        | 9.28    |
| Wheat, vermicelli, roasted (Triticum aestivum)                                         | 1423      | 340.1       | 71.42  | 10.37     | 0.49  | 2.14        | 9.55    |
| Foxtail millet (Italian millet)                                                        | 1384.9    | 331         | 60.9   | 12.3      | 4.3   | 0           | 8       |
| Proso millet (Panivaragu)                                                              | 1426.74   | 341         | 70.4   | 12.5      | 1.1   | 0           | 2.2     |
| Rice, parboiled, handpounded                                                           | 1460.22   | 349         | 77.4   | 8.5       | 0.6   | 0           | 0       |
| Rice, raw, handpounded                                                                 | 1447.66   | 346         | 76.7   | 7.5       | 1     | 0           | 0.6     |
| Rice, bran                                                                             | 1644.31   | 393         | 48.4   | 13.5      | 16.2  | 0           | 4.3     |
| Barnyard millet (Sanwa millet)                                                         | 1284.49   | 307         | 65.5   | 6.2       | 2.2   | 0           | 9.8     |
| Wheat, germ                                                                            | 1661.05   | 397         | 53.3   | 29.2      | 7.4   | 0           | 1.4     |
| Bamboo seeds                                                                           | 1535.53   | 367         | 75.9   | 13.1      | 1.2   | 0           | 0.9     |
| Banti                                                                                  | 1133.86   | 271         | 74.7   | 8.3       | 4.3   | 0           | 0       |
| Buckwheat                                                                              | 1351.43   | 323         | 65.1   | 10.3      | 2.4   | 0           | 8.6     |
| Chenopodium album seeds                                                                | 0         | 0           | 0      | 14.4      | 7.3   | 0           | 0       |
| Cowage seed flour                                                                      | 1665.23   | 398         | 55.6   | 28.2      | 7     | 0           | 2.2     |
| Daincha seeds                                                                          | 1368.17   | 327         | 45.1   | 28.1      | 3.8   | 0           | 8.6     |
| Job's tears                                                                            | 1581.55   | 378         | 63.4   | 17.5      | 6     | 0           | 0.5     |
| Oatmeal                                                                                | 1564.82   | 374         | 62.8   | 13.6      | 7.6   | 0           | 3.5     |
| Kittul flour                                                                           | 1418.38   | 339         | 81.7   | 2.4       | 0.3   | 0           | 0       |
| Lotus seed                                                                             | 1447.66   | 346         | 64     | 17.2      | 2.4   | 0           | 2.6     |
| Makhana                                                                                | 1451.85   | 347         | 76.9   | 9.7       | 0.1   | 0           | 0       |
| Rajkeera seeds                                                                         | 1522.98   | 364         | 62.7   | 16.5      | 5.3   | 0           | 2.7     |
| Water lily seeds                                                                       | 1443.48   | 345         | 75.6   | 8.3       | 1     | 0           | 4.2     |
| Breakfast cereal, crunchy clusters type, without nuts, unfortified                     | 1687      | 399         | 71     | 7.2       | 11.6  | 25.3        | 7.2     |
| Couscous, plain, raw                                                                   | 1549      | 364         | 79.2   | 12        | 2.1   | 2.3         | 3.7     |
| Flour, corn                                                                            | 1508      | 354         | 92     | 0.6       | 0.7   | 0           | 0       |
| Flour, gram                                                                            | 1498      | 353         | 57     | 22.7      | 5.4   | 2.3         | 10.1    |
| Flour, rice                                                                            | 1531      | 366         | 80.1   | 6.4       | 0.8   | 0           | 0       |
| Pasta, white, dried, raw                                                               | 1461      | 343         | 75.6   | 11.3      | 1.6   | 2.1         | 0       |
| Porridge oats, unfortified                                                             | 1614      | 381         | 70.7   | 10.9      | 8.1   | 0.3         | 7.8     |
| BLACK RICE                                                                             | 1556.45   | 372         | 79.1   | 11.6      | 3.49  | 2.33        | 4.7     |
| CRACKED WHEAT                                                                          | 1464.4    | 350         | 75     | 12.5      | 1.25  | 0           | 12.5    |
| SWEET SUNNAH, WHOLE BLACK SEEDS NIGELLA SATIVA                                         | 1673.6    | 400         | 50     | 16.67     | 33.33 | 0           | 0       |
| ALMOND FLOUR, ALMOND                                                                   | 2389.06   | 571         | 21.43  | 21.43     | 50    | 7.14        | 14.3    |
